Machine800
60 2
0 0 39
0 1 8
1 0 54
1 1 26
2 0 53
2 1 32
3 0 29
3 1 19
4 0 26
4 1 55
5 0 40
5 1 40
6 0 21
6 1 48
7 0 8
7 1 46
8 0 20
8 1 24
9 0 15
9 1 11
10 0 20
10 1 42
11 0 58
11 1 16
12 0 42
12 1 42
13 0 13
13 1 52
14 0 6
14 1 59
15 0 43
15 1 45
16 0 52
16 1 7
17 0 58
17 1 52
18 0 31
18 1 48
19 0 54
19 1 57
20 0 16
20 1 9
21 0 30
21 1 44
22 0 19
22 1 20
23 0 23
23 1 50
24 0 32
24 1 42
25 0 39
25 1 26
26 0 8
26 1 42
27 0 49
27 1 9
28 0 2
28 1 16
29 0 53
29 1 58
30 0 5
30 1 5
31 0 56
31 1 31
32 0 26
32 1 32
33 0 37
33 1 13
34 0 28
34 1 43
35 0 47
35 1 58
36 0 26
36 1 31
37 0 31
37 1 3
38 0 56
38 1 57
39 0 42
39 1 5
40 0 41
40 1 38
41 0 49
41 1 24
42 0 35
42 1 3
43 0 18
43 1 9
44 0 10
44 1 33
45 0 35
45 1 37
46 0 25
46 1 22
47 0 35
47 1 33
48 0 2
48 1 25
49 0 28
49 1 11
50 0 20
50 1 15
51 0 11
51 1 54
52 0 55
52 1 47
53 0 57
53 1 10
54 0 13
54 1 9
55 0 14
55 1 48
56 0 29
56 1 26
57 0 32
57 1 29
58 0 42
58 1 3
59 0 18
59 1 6
