Machine886
60 2
0 0 43
0 1 30
1 0 16
1 1 20
2 0 17
2 1 42
3 0 32
3 1 45
4 0 14
4 1 1
5 0 17
5 1 52
6 0 31
6 1 26
7 0 9
7 1 47
8 0 12
8 1 10
9 0 3
9 1 0
10 0 1
10 1 29
11 0 32
11 1 26
12 0 19
12 1 13
13 0 42
13 1 55
14 0 35
14 1 1
15 0 8
15 1 19
16 0 15
16 1 44
17 0 31
17 1 34
18 0 42
18 1 29
19 0 38
19 1 8
20 0 25
20 1 25
21 0 48
21 1 39
22 0 57
22 1 48
23 0 34
23 1 49
24 0 53
24 1 16
25 0 15
25 1 13
26 0 33
26 1 2
27 0 46
27 1 20
28 0 42
28 1 50
29 0 9
29 1 46
30 0 33
30 1 55
31 0 22
31 1 37
32 0 7
32 1 55
33 0 15
33 1 0
34 0 7
34 1 29
35 0 56
35 1 6
36 0 0
36 1 37
37 0 43
37 1 23
38 0 18
38 1 13
39 0 41
39 1 33
40 0 21
40 1 50
41 0 16
41 1 11
42 0 9
42 1 3
43 0 34
43 1 24
44 0 36
44 1 7
45 0 18
45 1 45
46 0 18
46 1 50
47 0 19
47 1 12
48 0 3
48 1 30
49 0 27
49 1 47
50 0 37
50 1 15
51 0 30
51 1 32
52 0 48
52 1 49
53 0 3
53 1 19
54 0 28
54 1 42
55 0 38
55 1 10
56 0 1
56 1 48
57 0 43
57 1 53
58 0 27
58 1 58
59 0 29
59 1 37
