Machine667
60 2
0 0 11
0 1 58
1 0 51
1 1 44
2 0 22
2 1 47
3 0 46
3 1 48
4 0 28
4 1 52
5 0 56
5 1 53
6 0 46
6 1 15
7 0 26
7 1 50
8 0 2
8 1 11
9 0 50
9 1 6
10 0 17
10 1 59
11 0 38
11 1 18
12 0 40
12 1 22
13 0 32
13 1 58
14 0 2
14 1 41
15 0 6
15 1 24
16 0 17
16 1 54
17 0 34
17 1 59
18 0 30
18 1 49
19 0 36
19 1 15
20 0 50
20 1 38
21 0 31
21 1 54
22 0 20
22 1 6
23 0 11
23 1 34
24 0 5
24 1 35
25 0 14
25 1 18
26 0 2
26 1 10
27 0 46
27 1 57
28 0 16
28 1 11
29 0 33
29 1 53
30 0 13
30 1 2
31 0 20
31 1 15
32 0 0
32 1 50
33 0 40
33 1 28
34 0 7
34 1 17
35 0 6
35 1 47
36 0 50
36 1 26
37 0 32
37 1 56
38 0 22
38 1 51
39 0 5
39 1 3
40 0 41
40 1 9
41 0 25
41 1 55
42 0 10
42 1 50
43 0 19
43 1 58
44 0 54
44 1 36
45 0 37
45 1 28
46 0 9
46 1 51
47 0 46
47 1 23
48 0 23
48 1 29
49 0 46
49 1 4
50 0 29
50 1 38
51 0 14
51 1 7
52 0 52
52 1 59
53 0 51
53 1 38
54 0 27
54 1 25
55 0 10
55 1 42
56 0 11
56 1 26
57 0 13
57 1 23
58 0 26
58 1 2
59 0 38
59 1 15
