Machine707
60 2
0 0 21
0 1 4
1 0 12
1 1 13
2 0 53
2 1 40
3 0 19
3 1 56
4 0 9
4 1 46
5 0 13
5 1 52
6 0 41
6 1 13
7 0 59
7 1 39
8 0 7
8 1 0
9 0 42
9 1 46
10 0 10
10 1 3
11 0 44
11 1 19
12 0 40
12 1 53
13 0 47
13 1 52
14 0 53
14 1 11
15 0 10
15 1 57
16 0 50
16 1 53
17 0 0
17 1 33
18 0 36
18 1 51
19 0 57
19 1 3
20 0 49
20 1 51
21 0 31
21 1 33
22 0 42
22 1 11
23 0 41
23 1 27
24 0 25
24 1 22
25 0 13
25 1 24
26 0 29
26 1 45
27 0 9
27 1 58
28 0 6
28 1 37
29 0 28
29 1 14
30 0 33
30 1 32
31 0 35
31 1 22
32 0 16
32 1 26
33 0 29
33 1 35
34 0 24
34 1 14
35 0 14
35 1 43
36 0 24
36 1 41
37 0 12
37 1 11
38 0 35
38 1 55
39 0 35
39 1 13
40 0 21
40 1 13
41 0 40
41 1 46
42 0 13
42 1 14
43 0 41
43 1 7
44 0 20
44 1 25
45 0 44
45 1 3
46 0 43
46 1 36
47 0 33
47 1 13
48 0 2
48 1 28
49 0 18
49 1 2
50 0 54
50 1 18
51 0 38
51 1 24
52 0 37
52 1 34
53 0 48
53 1 37
54 0 53
54 1 9
55 0 20
55 1 28
56 0 22
56 1 42
57 0 38
57 1 48
58 0 5
58 1 57
59 0 12
59 1 27
