Machine869
60 2
0 0 11
0 1 25
1 0 55
1 1 41
2 0 11
2 1 27
3 0 53
3 1 52
4 0 26
4 1 41
5 0 13
5 1 52
6 0 22
6 1 55
7 0 57
7 1 34
8 0 53
8 1 4
9 0 5
9 1 34
10 0 1
10 1 23
11 0 41
11 1 5
12 0 4
12 1 53
13 0 46
13 1 49
14 0 11
14 1 54
15 0 35
15 1 37
16 0 17
16 1 56
17 0 34
17 1 49
18 0 52
18 1 36
19 0 2
19 1 13
20 0 18
20 1 25
21 0 6
21 1 8
22 0 8
22 1 9
23 0 1
23 1 30
24 0 48
24 1 41
25 0 57
25 1 52
26 0 8
26 1 34
27 0 32
27 1 35
28 0 43
28 1 23
29 0 27
29 1 7
30 0 1
30 1 3
31 0 58
31 1 33
32 0 7
32 1 8
33 0 4
33 1 36
34 0 18
34 1 49
35 0 21
35 1 43
36 0 13
36 1 37
37 0 21
37 1 19
38 0 6
38 1 13
39 0 11
39 1 42
40 0 30
40 1 57
41 0 2
41 1 15
42 0 44
42 1 2
43 0 38
43 1 15
44 0 34
44 1 43
45 0 15
45 1 23
46 0 0
46 1 7
47 0 30
47 1 17
48 0 22
48 1 35
49 0 57
49 1 39
50 0 58
50 1 14
51 0 17
51 1 30
52 0 54
52 1 46
53 0 17
53 1 33
54 0 41
54 1 26
55 0 29
55 1 3
56 0 10
56 1 46
57 0 11
57 1 29
58 0 2
58 1 8
59 0 0
59 1 32
