Machine773
60 2
0 0 25
0 1 32
1 0 47
1 1 9
2 0 14
2 1 29
3 0 30
3 1 53
4 0 55
4 1 56
5 0 54
5 1 33
6 0 51
6 1 51
7 0 11
7 1 21
8 0 57
8 1 17
9 0 41
9 1 41
10 0 31
10 1 32
11 0 47
11 1 22
12 0 13
12 1 22
13 0 34
13 1 27
14 0 3
14 1 50
15 0 34
15 1 3
16 0 13
16 1 3
17 0 19
17 1 34
18 0 10
18 1 48
19 0 17
19 1 13
20 0 11
20 1 45
21 0 2
21 1 45
22 0 15
22 1 50
23 0 39
23 1 13
24 0 14
24 1 56
25 0 50
25 1 32
26 0 16
26 1 7
27 0 25
27 1 6
28 0 46
28 1 4
29 0 25
29 1 8
30 0 35
30 1 21
31 0 13
31 1 30
32 0 46
32 1 3
33 0 9
33 1 52
34 0 14
34 1 54
35 0 3
35 1 0
36 0 48
36 1 26
37 0 27
37 1 47
38 0 17
38 1 24
39 0 2
39 1 16
40 0 18
40 1 45
41 0 47
41 1 0
42 0 36
42 1 43
43 0 28
43 1 11
44 0 39
44 1 16
45 0 12
45 1 33
46 0 7
46 1 4
47 0 33
47 1 19
48 0 20
48 1 47
49 0 18
49 1 47
50 0 13
50 1 30
51 0 5
51 1 26
52 0 12
52 1 8
53 0 57
53 1 11
54 0 25
54 1 25
55 0 10
55 1 54
56 0 23
56 1 8
57 0 55
57 1 21
58 0 36
58 1 5
59 0 41
59 1 17
