Machine842
60 2
0 0 3
0 1 24
1 0 12
1 1 55
2 0 9
2 1 18
3 0 59
3 1 39
4 0 0
4 1 48
5 0 24
5 1 30
6 0 48
6 1 47
7 0 49
7 1 28
8 0 40
8 1 31
9 0 49
9 1 55
10 0 48
10 1 21
11 0 3
11 1 42
12 0 18
12 1 56
13 0 1
13 1 50
14 0 52
14 1 16
15 0 55
15 1 55
16 0 25
16 1 58
17 0 48
17 1 57
18 0 17
18 1 9
19 0 11
19 1 48
20 0 15
20 1 23
21 0 48
21 1 25
22 0 9
22 1 22
23 0 15
23 1 42
24 0 53
24 1 17
25 0 28
25 1 23
26 0 42
26 1 39
27 0 49
27 1 57
28 0 24
28 1 30
29 0 19
29 1 48
30 0 52
30 1 21
31 0 27
31 1 42
32 0 40
32 1 45
33 0 40
33 1 10
34 0 23
34 1 20
35 0 2
35 1 45
36 0 2
36 1 14
37 0 49
37 1 3
38 0 0
38 1 37
39 0 11
39 1 34
40 0 6
40 1 13
41 0 13
41 1 24
42 0 14
42 1 53
43 0 9
43 1 6
44 0 0
44 1 33
45 0 14
45 1 5
46 0 45
46 1 32
47 0 38
47 1 7
48 0 33
48 1 40
49 0 41
49 1 13
50 0 34
50 1 43
51 0 22
51 1 25
52 0 25
52 1 26
53 0 17
53 1 16
54 0 12
54 1 37
55 0 0
55 1 47
56 0 40
56 1 23
57 0 47
57 1 2
58 0 4
58 1 41
59 0 5
59 1 25
