Machine861
60 2
0 0 20
0 1 54
1 0 33
1 1 41
2 0 54
2 1 53
3 0 11
3 1 51
4 0 46
4 1 56
5 0 20
5 1 13
6 0 22
6 1 0
7 0 28
7 1 56
8 0 30
8 1 8
9 0 33
9 1 52
10 0 1
10 1 35
11 0 23
11 1 17
12 0 23
12 1 22
13 0 15
13 1 49
14 0 12
14 1 31
15 0 45
15 1 19
16 0 52
16 1 31
17 0 30
17 1 34
18 0 58
18 1 46
19 0 50
19 1 20
20 0 30
20 1 44
21 0 51
21 1 53
22 0 43
22 1 12
23 0 52
23 1 18
24 0 52
24 1 13
25 0 28
25 1 44
26 0 52
26 1 51
27 0 39
27 1 5
28 0 48
28 1 35
29 0 47
29 1 10
30 0 45
30 1 44
31 0 33
31 1 22
32 0 16
32 1 38
33 0 56
33 1 49
34 0 7
34 1 5
35 0 20
35 1 36
36 0 26
36 1 23
37 0 2
37 1 7
38 0 37
38 1 18
39 0 35
39 1 8
40 0 18
40 1 49
41 0 39
41 1 17
42 0 29
42 1 23
43 0 4
43 1 35
44 0 49
44 1 20
45 0 9
45 1 17
46 0 46
46 1 53
47 0 36
47 1 53
48 0 44
48 1 14
49 0 55
49 1 5
50 0 34
50 1 17
51 0 8
51 1 50
52 0 27
52 1 22
53 0 41
53 1 57
54 0 29
54 1 10
55 0 47
55 1 8
56 0 21
56 1 39
57 0 54
57 1 8
58 0 3
58 1 25
59 0 35
59 1 32
