Machine896
60 2
0 0 41
0 1 52
1 0 47
1 1 8
2 0 6
2 1 33
3 0 7
3 1 30
4 0 33
4 1 1
5 0 46
5 1 53
6 0 40
6 1 53
7 0 9
7 1 31
8 0 57
8 1 39
9 0 25
9 1 52
10 0 56
10 1 10
11 0 20
11 1 52
12 0 55
12 1 32
13 0 26
13 1 33
14 0 52
14 1 32
15 0 44
15 1 57
16 0 53
16 1 3
17 0 44
17 1 0
18 0 38
18 1 13
19 0 2
19 1 12
20 0 33
20 1 49
21 0 2
21 1 53
22 0 20
22 1 0
23 0 53
23 1 32
24 0 50
24 1 37
25 0 9
25 1 27
26 0 30
26 1 38
27 0 46
27 1 41
28 0 28
28 1 41
29 0 44
29 1 28
30 0 13
30 1 21
31 0 9
31 1 34
32 0 45
32 1 22
33 0 20
33 1 38
34 0 21
34 1 10
35 0 30
35 1 0
36 0 27
36 1 9
37 0 16
37 1 36
38 0 0
38 1 56
39 0 36
39 1 45
40 0 19
40 1 53
41 0 43
41 1 44
42 0 8
42 1 40
43 0 24
43 1 51
44 0 0
44 1 12
45 0 59
45 1 2
46 0 54
46 1 32
47 0 7
47 1 2
48 0 34
48 1 28
49 0 36
49 1 40
50 0 47
50 1 50
51 0 4
51 1 33
52 0 21
52 1 55
53 0 1
53 1 7
54 0 49
54 1 25
55 0 29
55 1 47
56 0 46
56 1 25
57 0 31
57 1 9
58 0 47
58 1 33
59 0 1
59 1 11
