Machine641
60 2
0 0 14
0 1 24
1 0 56
1 1 23
2 0 23
2 1 59
3 0 4
3 1 4
4 0 46
4 1 50
5 0 56
5 1 36
6 0 56
6 1 49
7 0 58
7 1 34
8 0 13
8 1 5
9 0 35
9 1 52
10 0 17
10 1 55
11 0 46
11 1 16
12 0 23
12 1 18
13 0 29
13 1 25
14 0 32
14 1 22
15 0 46
15 1 27
16 0 47
16 1 52
17 0 33
17 1 24
18 0 22
18 1 33
19 0 58
19 1 49
20 0 24
20 1 51
21 0 20
21 1 46
22 0 49
22 1 4
23 0 13
23 1 26
24 0 17
24 1 56
25 0 12
25 1 14
26 0 41
26 1 35
27 0 12
27 1 7
28 0 21
28 1 45
29 0 33
29 1 20
30 0 39
30 1 1
31 0 8
31 1 9
32 0 45
32 1 5
33 0 41
33 1 46
34 0 20
34 1 45
35 0 56
35 1 12
36 0 33
36 1 15
37 0 11
37 1 23
38 0 44
38 1 14
39 0 8
39 1 23
40 0 47
40 1 4
41 0 52
41 1 49
42 0 50
42 1 11
43 0 45
43 1 20
44 0 4
44 1 35
45 0 6
45 1 40
46 0 11
46 1 0
47 0 25
47 1 36
48 0 21
48 1 21
49 0 18
49 1 41
50 0 53
50 1 33
51 0 19
51 1 34
52 0 7
52 1 24
53 0 48
53 1 44
54 0 52
54 1 7
55 0 37
55 1 38
56 0 29
56 1 48
57 0 5
57 1 6
58 0 58
58 1 0
59 0 39
59 1 31
