Machine737
60 2
0 0 44
0 1 35
1 0 56
1 1 28
2 0 40
2 1 27
3 0 28
3 1 37
4 0 55
4 1 25
5 0 11
5 1 43
6 0 45
6 1 44
7 0 45
7 1 49
8 0 1
8 1 58
9 0 8
9 1 48
10 0 40
10 1 49
11 0 49
11 1 29
12 0 13
12 1 21
13 0 51
13 1 17
14 0 55
14 1 29
15 0 32
15 1 6
16 0 12
16 1 52
17 0 49
17 1 21
18 0 3
18 1 34
19 0 44
19 1 43
20 0 48
20 1 37
21 0 55
21 1 36
22 0 38
22 1 32
23 0 50
23 1 53
24 0 12
24 1 22
25 0 32
25 1 43
26 0 26
26 1 13
27 0 27
27 1 13
28 0 31
28 1 43
29 0 48
29 1 48
30 0 29
30 1 16
31 0 56
31 1 28
32 0 11
32 1 14
33 0 18
33 1 16
34 0 11
34 1 56
35 0 45
35 1 24
36 0 6
36 1 52
37 0 47
37 1 48
38 0 51
38 1 46
39 0 24
39 1 15
40 0 4
40 1 47
41 0 4
41 1 41
42 0 46
42 1 20
43 0 27
43 1 26
44 0 13
44 1 27
45 0 57
45 1 8
46 0 8
46 1 23
47 0 39
47 1 22
48 0 8
48 1 46
49 0 39
49 1 6
50 0 42
50 1 26
51 0 20
51 1 42
52 0 40
52 1 34
53 0 47
53 1 36
54 0 51
54 1 36
55 0 45
55 1 59
56 0 32
56 1 11
57 0 41
57 1 28
58 0 37
58 1 28
59 0 51
59 1 39
