Machine714
60 2
0 0 6
0 1 48
1 0 10
1 1 54
2 0 26
2 1 46
3 0 49
3 1 45
4 0 10
4 1 21
5 0 50
5 1 10
6 0 48
6 1 30
7 0 31
7 1 5
8 0 9
8 1 36
9 0 44
9 1 6
10 0 44
10 1 22
11 0 20
11 1 7
12 0 52
12 1 36
13 0 21
13 1 58
14 0 10
14 1 22
15 0 45
15 1 47
16 0 47
16 1 12
17 0 59
17 1 29
18 0 5
18 1 17
19 0 54
19 1 15
20 0 12
20 1 45
21 0 50
21 1 25
22 0 50
22 1 21
23 0 23
23 1 45
24 0 26
24 1 44
25 0 28
25 1 1
26 0 30
26 1 50
27 0 47
27 1 46
28 0 16
28 1 30
29 0 16
29 1 21
30 0 52
30 1 57
31 0 28
31 1 34
32 0 17
32 1 48
33 0 31
33 1 13
34 0 30
34 1 26
35 0 34
35 1 51
36 0 19
36 1 48
37 0 42
37 1 33
38 0 45
38 1 19
39 0 21
39 1 12
40 0 17
40 1 13
41 0 14
41 1 44
42 0 18
42 1 51
43 0 15
43 1 14
44 0 54
44 1 36
45 0 22
45 1 11
46 0 10
46 1 23
47 0 9
47 1 37
48 0 59
48 1 6
49 0 21
49 1 16
50 0 51
50 1 27
51 0 30
51 1 33
52 0 6
52 1 31
53 0 41
53 1 30
54 0 3
54 1 25
55 0 47
55 1 42
56 0 46
56 1 7
57 0 32
57 1 53
58 0 41
58 1 27
59 0 49
59 1 44
