Machine864
60 2
0 0 54
0 1 27
1 0 38
1 1 45
2 0 44
2 1 38
3 0 40
3 1 24
4 0 41
4 1 26
5 0 48
5 1 23
6 0 52
6 1 25
7 0 44
7 1 2
8 0 7
8 1 25
9 0 21
9 1 49
10 0 2
10 1 55
11 0 5
11 1 9
12 0 8
12 1 51
13 0 28
13 1 22
14 0 48
14 1 5
15 0 21
15 1 0
16 0 15
16 1 56
17 0 15
17 1 51
18 0 37
18 1 12
19 0 38
19 1 32
20 0 9
20 1 33
21 0 2
21 1 41
22 0 13
22 1 29
23 0 22
23 1 47
24 0 16
24 1 53
25 0 9
25 1 32
26 0 30
26 1 48
27 0 32
27 1 18
28 0 8
28 1 36
29 0 3
29 1 40
30 0 38
30 1 49
31 0 4
31 1 15
32 0 46
32 1 44
33 0 51
33 1 31
34 0 57
34 1 50
35 0 28
35 1 19
36 0 1
36 1 44
37 0 51
37 1 41
38 0 23
38 1 20
39 0 21
39 1 54
40 0 27
40 1 23
41 0 43
41 1 29
42 0 6
42 1 10
43 0 13
43 1 18
44 0 10
44 1 42
45 0 15
45 1 50
46 0 39
46 1 7
47 0 1
47 1 42
48 0 59
48 1 48
49 0 47
49 1 21
50 0 15
50 1 56
51 0 50
51 1 28
52 0 38
52 1 21
53 0 7
53 1 13
54 0 8
54 1 55
55 0 27
55 1 40
56 0 58
56 1 41
57 0 54
57 1 9
58 0 40
58 1 4
59 0 42
59 1 19
