Machine825
60 2
0 0 53
0 1 39
1 0 27
1 1 44
2 0 27
2 1 46
3 0 3
3 1 19
4 0 6
4 1 32
5 0 48
5 1 22
6 0 2
6 1 52
7 0 21
7 1 26
8 0 52
8 1 16
9 0 31
9 1 52
10 0 35
10 1 56
11 0 10
11 1 45
12 0 39
12 1 1
13 0 13
13 1 40
14 0 46
14 1 47
15 0 18
15 1 24
16 0 40
16 1 36
17 0 22
17 1 51
18 0 24
18 1 59
19 0 16
19 1 8
20 0 1
20 1 9
21 0 58
21 1 31
22 0 55
22 1 48
23 0 54
23 1 24
24 0 36
24 1 40
25 0 42
25 1 13
26 0 33
26 1 49
27 0 35
27 1 6
28 0 5
28 1 23
29 0 32
29 1 52
30 0 50
30 1 5
31 0 9
31 1 52
32 0 46
32 1 50
33 0 13
33 1 49
34 0 12
34 1 59
35 0 32
35 1 51
36 0 52
36 1 56
37 0 20
37 1 29
38 0 12
38 1 27
39 0 46
39 1 43
40 0 37
40 1 41
41 0 40
41 1 50
42 0 14
42 1 53
43 0 50
43 1 15
44 0 7
44 1 43
45 0 25
45 1 23
46 0 49
46 1 19
47 0 22
47 1 38
48 0 22
48 1 19
49 0 20
49 1 0
50 0 14
50 1 41
51 0 27
51 1 2
52 0 34
52 1 17
53 0 40
53 1 44
54 0 23
54 1 20
55 0 18
55 1 19
56 0 5
56 1 44
57 0 31
57 1 42
58 0 24
58 1 7
59 0 19
59 1 11
