Machine562
40 2
0 0 24
0 1 27
1 0 13
1 1 31
2 0 17
2 1 30
3 0 9
3 1 24
4 0 39
4 1 9
5 0 21
5 1 24
6 0 20
6 1 38
7 0 6
7 1 12
8 0 20
8 1 14
9 0 39
9 1 25
10 0 20
10 1 21
11 0 12
11 1 27
12 0 8
12 1 32
13 0 25
13 1 27
14 0 25
14 1 12
15 0 33
15 1 25
16 0 27
16 1 37
17 0 5
17 1 23
18 0 25
18 1 5
19 0 17
19 1 5
20 0 2
20 1 6
21 0 32
21 1 3
22 0 29
22 1 29
23 0 18
23 1 16
24 0 25
24 1 36
25 0 19
25 1 20
26 0 20
26 1 0
27 0 25
27 1 16
28 0 22
28 1 1
29 0 31
29 1 36
30 0 26
30 1 34
31 0 13
31 1 23
32 0 12
32 1 29
33 0 5
33 1 29
34 0 34
34 1 6
35 0 30
35 1 30
36 0 23
36 1 32
37 0 24
37 1 1
38 0 6
38 1 24
39 0 31
39 1 27
