Machine322
40 2
0 0 23
0 1 28
1 0 24
1 1 18
2 0 38
2 1 5
3 0 36
3 1 32
4 0 30
4 1 8
5 0 17
5 1 33
6 0 38
6 1 32
7 0 20
7 1 30
8 0 23
8 1 37
9 0 0
9 1 34
10 0 2
10 1 30
11 0 20
11 1 29
12 0 24
12 1 38
13 0 2
13 1 13
14 0 13
14 1 32
15 0 1
15 1 3
16 0 10
16 1 6
17 0 3
17 1 14
18 0 29
18 1 8
19 0 3
19 1 11
20 0 18
20 1 23
21 0 13
21 1 21
22 0 27
22 1 29
23 0 15
23 1 34
24 0 2
24 1 0
25 0 4
25 1 37
26 0 37
26 1 30
27 0 6
27 1 28
28 0 14
28 1 29
29 0 26
29 1 26
30 0 20
30 1 1
31 0 38
31 1 1
32 0 12
32 1 22
33 0 22
33 1 27
34 0 16
34 1 10
35 0 8
35 1 27
36 0 36
36 1 39
37 0 32
37 1 12
38 0 28
38 1 27
39 0 24
39 1 17
