Machine417
40 2
0 0 32
0 1 8
1 0 39
1 1 7
2 0 17
2 1 9
3 0 9
3 1 13
4 0 39
4 1 4
5 0 3
5 1 29
6 0 3
6 1 22
7 0 6
7 1 16
8 0 26
8 1 9
9 0 22
9 1 26
10 0 39
10 1 13
11 0 4
11 1 30
12 0 25
12 1 5
13 0 1
13 1 1
14 0 37
14 1 1
15 0 24
15 1 24
16 0 9
16 1 22
17 0 18
17 1 28
18 0 9
18 1 6
19 0 13
19 1 6
20 0 14
20 1 33
21 0 36
21 1 6
22 0 24
22 1 28
23 0 35
23 1 19
24 0 37
24 1 23
25 0 38
25 1 15
26 0 16
26 1 13
27 0 10
27 1 3
28 0 37
28 1 39
29 0 11
29 1 8
30 0 3
30 1 37
31 0 5
31 1 6
32 0 24
32 1 7
33 0 34
33 1 14
34 0 25
34 1 3
35 0 38
35 1 9
36 0 1
36 1 11
37 0 2
37 1 2
38 0 23
38 1 6
39 0 16
39 1 17
