Machine545
40 2
0 0 24
0 1 11
1 0 33
1 1 19
2 0 17
2 1 5
3 0 26
3 1 23
4 0 12
4 1 21
5 0 12
5 1 21
6 0 26
6 1 38
7 0 25
7 1 38
8 0 1
8 1 12
9 0 2
9 1 18
10 0 3
10 1 36
11 0 13
11 1 0
12 0 22
12 1 0
13 0 37
13 1 24
14 0 0
14 1 21
15 0 14
15 1 24
16 0 33
16 1 11
17 0 9
17 1 38
18 0 35
18 1 10
19 0 25
19 1 1
20 0 11
20 1 16
21 0 15
21 1 23
22 0 38
22 1 8
23 0 13
23 1 33
24 0 8
24 1 30
25 0 5
25 1 21
26 0 39
26 1 1
27 0 8
27 1 29
28 0 37
28 1 14
29 0 34
29 1 14
30 0 18
30 1 32
31 0 33
31 1 16
32 0 20
32 1 4
33 0 37
33 1 24
34 0 13
34 1 4
35 0 29
35 1 5
36 0 27
36 1 21
37 0 29
37 1 39
38 0 39
38 1 20
39 0 28
39 1 12
