Machine379
40 2
0 0 12
0 1 18
1 0 2
1 1 28
2 0 8
2 1 28
3 0 37
3 1 5
4 0 17
4 1 28
5 0 29
5 1 12
6 0 32
6 1 31
7 0 16
7 1 22
8 0 30
8 1 17
9 0 25
9 1 1
10 0 0
10 1 21
11 0 33
11 1 19
12 0 7
12 1 1
13 0 7
13 1 25
14 0 25
14 1 37
15 0 17
15 1 38
16 0 13
16 1 29
17 0 28
17 1 5
18 0 29
18 1 22
19 0 17
19 1 36
20 0 11
20 1 28
21 0 5
21 1 7
22 0 14
22 1 9
23 0 29
23 1 39
24 0 34
24 1 39
25 0 38
25 1 27
26 0 35
26 1 8
27 0 10
27 1 18
28 0 30
28 1 7
29 0 10
29 1 19
30 0 15
30 1 34
31 0 28
31 1 31
32 0 6
32 1 30
33 0 8
33 1 35
34 0 0
34 1 34
35 0 29
35 1 13
36 0 13
36 1 28
37 0 25
37 1 39
38 0 7
38 1 36
39 0 36
39 1 15
