Machine394
40 2
0 0 28
0 1 32
1 0 8
1 1 22
2 0 2
2 1 8
3 0 7
3 1 31
4 0 3
4 1 16
5 0 16
5 1 28
6 0 13
6 1 1
7 0 12
7 1 31
8 0 26
8 1 20
9 0 37
9 1 3
10 0 35
10 1 11
11 0 30
11 1 16
12 0 5
12 1 0
13 0 19
13 1 26
14 0 36
14 1 1
15 0 15
15 1 33
16 0 31
16 1 14
17 0 36
17 1 6
18 0 15
18 1 18
19 0 1
19 1 22
20 0 11
20 1 18
21 0 1
21 1 4
22 0 2
22 1 33
23 0 31
23 1 25
24 0 14
24 1 17
25 0 26
25 1 12
26 0 15
26 1 22
27 0 35
27 1 1
28 0 1
28 1 31
29 0 23
29 1 29
30 0 22
30 1 34
31 0 3
31 1 2
32 0 15
32 1 20
33 0 35
33 1 26
34 0 38
34 1 16
35 0 21
35 1 1
36 0 12
36 1 27
37 0 16
37 1 34
38 0 0
38 1 37
39 0 36
39 1 7
