Machine397
40 2
0 0 20
0 1 16
1 0 13
1 1 37
2 0 3
2 1 35
3 0 12
3 1 9
4 0 28
4 1 38
5 0 17
5 1 11
6 0 2
6 1 24
7 0 0
7 1 13
8 0 12
8 1 28
9 0 34
9 1 5
10 0 25
10 1 25
11 0 2
11 1 32
12 0 12
12 1 2
13 0 27
13 1 30
14 0 2
14 1 18
15 0 38
15 1 1
16 0 4
16 1 2
17 0 1
17 1 7
18 0 24
18 1 16
19 0 6
19 1 12
20 0 7
20 1 31
21 0 30
21 1 36
22 0 34
22 1 20
23 0 38
23 1 12
24 0 10
24 1 7
25 0 19
25 1 5
26 0 10
26 1 11
27 0 17
27 1 23
28 0 25
28 1 16
29 0 4
29 1 17
30 0 13
30 1 32
31 0 19
31 1 12
32 0 19
32 1 3
33 0 28
33 1 15
34 0 34
34 1 0
35 0 6
35 1 34
36 0 39
36 1 7
37 0 21
37 1 34
38 0 17
38 1 3
39 0 17
39 1 10
