Machine350
40 2
0 0 17
0 1 0
1 0 29
1 1 24
2 0 29
2 1 19
3 0 10
3 1 13
4 0 2
4 1 13
5 0 7
5 1 24
6 0 16
6 1 2
7 0 28
7 1 28
8 0 35
8 1 26
9 0 14
9 1 24
10 0 27
10 1 7
11 0 19
11 1 26
12 0 39
12 1 39
13 0 0
13 1 11
14 0 28
14 1 17
15 0 6
15 1 22
16 0 1
16 1 6
17 0 27
17 1 15
18 0 21
18 1 37
19 0 7
19 1 13
20 0 10
20 1 21
21 0 32
21 1 2
22 0 19
22 1 33
23 0 11
23 1 21
24 0 4
24 1 38
25 0 19
25 1 32
26 0 34
26 1 18
27 0 23
27 1 23
28 0 10
28 1 6
29 0 23
29 1 19
30 0 2
30 1 15
31 0 8
31 1 17
32 0 21
32 1 8
33 0 12
33 1 26
34 0 37
34 1 7
35 0 35
35 1 19
36 0 10
36 1 2
37 0 6
37 1 23
38 0 15
38 1 17
39 0 9
39 1 33
