Machine452
40 2
0 0 39
0 1 3
1 0 20
1 1 18
2 0 14
2 1 29
3 0 19
3 1 39
4 0 24
4 1 10
5 0 18
5 1 24
6 0 38
6 1 17
7 0 22
7 1 39
8 0 28
8 1 29
9 0 14
9 1 27
10 0 7
10 1 27
11 0 23
11 1 15
12 0 26
12 1 31
13 0 6
13 1 0
14 0 39
14 1 17
15 0 16
15 1 1
16 0 25
16 1 33
17 0 8
17 1 3
18 0 1
18 1 32
19 0 37
19 1 14
20 0 3
20 1 35
21 0 29
21 1 3
22 0 11
22 1 22
23 0 37
23 1 39
24 0 11
24 1 3
25 0 7
25 1 0
26 0 33
26 1 7
27 0 31
27 1 39
28 0 5
28 1 30
29 0 2
29 1 12
30 0 6
30 1 22
31 0 38
31 1 5
32 0 15
32 1 27
33 0 23
33 1 30
34 0 29
34 1 16
35 0 34
35 1 24
36 0 32
36 1 0
37 0 33
37 1 8
38 0 6
38 1 24
39 0 9
39 1 35
