Machine555
40 2
0 0 37
0 1 2
1 0 0
1 1 18
2 0 9
2 1 29
3 0 0
3 1 35
4 0 37
4 1 39
5 0 37
5 1 13
6 0 2
6 1 27
7 0 28
7 1 30
8 0 6
8 1 9
9 0 15
9 1 18
10 0 6
10 1 3
11 0 36
11 1 2
12 0 4
12 1 1
13 0 18
13 1 33
14 0 17
14 1 4
15 0 35
15 1 3
16 0 38
16 1 14
17 0 31
17 1 28
18 0 8
18 1 9
19 0 15
19 1 38
20 0 0
20 1 9
21 0 13
21 1 10
22 0 12
22 1 25
23 0 21
23 1 34
24 0 29
24 1 25
25 0 3
25 1 12
26 0 22
26 1 26
27 0 33
27 1 30
28 0 16
28 1 29
29 0 13
29 1 27
30 0 38
30 1 30
31 0 25
31 1 33
32 0 18
32 1 7
33 0 25
33 1 27
34 0 35
34 1 8
35 0 11
35 1 35
36 0 38
36 1 31
37 0 37
37 1 2
38 0 35
38 1 24
39 0 14
39 1 1
