Machine577
40 2
0 0 22
0 1 21
1 0 22
1 1 18
2 0 27
2 1 14
3 0 20
3 1 35
4 0 3
4 1 29
5 0 13
5 1 13
6 0 6
6 1 2
7 0 4
7 1 37
8 0 22
8 1 27
9 0 33
9 1 13
10 0 34
10 1 38
11 0 35
11 1 33
12 0 15
12 1 32
13 0 19
13 1 8
14 0 22
14 1 4
15 0 34
15 1 24
16 0 11
16 1 14
17 0 14
17 1 1
18 0 3
18 1 7
19 0 29
19 1 27
20 0 27
20 1 32
21 0 8
21 1 18
22 0 2
22 1 23
23 0 5
23 1 28
24 0 12
24 1 25
25 0 29
25 1 24
26 0 27
26 1 38
27 0 11
27 1 21
28 0 30
28 1 5
29 0 35
29 1 13
30 0 25
30 1 4
31 0 13
31 1 24
32 0 32
32 1 18
33 0 38
33 1 1
34 0 20
34 1 26
35 0 17
35 1 6
36 0 16
36 1 28
37 0 33
37 1 26
38 0 38
38 1 18
39 0 9
39 1 10
