Machine391
40 2
0 0 37
0 1 18
1 0 36
1 1 13
2 0 19
2 1 12
3 0 35
3 1 39
4 0 6
4 1 32
5 0 39
5 1 11
6 0 29
6 1 10
7 0 8
7 1 6
8 0 16
8 1 8
9 0 27
9 1 5
10 0 2
10 1 10
11 0 22
11 1 22
12 0 36
12 1 21
13 0 1
13 1 36
14 0 1
14 1 39
15 0 18
15 1 20
16 0 1
16 1 25
17 0 19
17 1 6
18 0 10
18 1 39
19 0 30
19 1 16
20 0 18
20 1 25
21 0 12
21 1 3
22 0 25
22 1 19
23 0 4
23 1 8
24 0 26
24 1 5
25 0 20
25 1 35
26 0 25
26 1 9
27 0 8
27 1 19
28 0 9
28 1 12
29 0 4
29 1 4
30 0 1
30 1 30
31 0 33
31 1 11
32 0 37
32 1 33
33 0 1
33 1 32
34 0 13
34 1 23
35 0 8
35 1 20
36 0 36
36 1 30
37 0 30
37 1 23
38 0 6
38 1 25
39 0 30
39 1 31
