Machine453
40 2
0 0 19
0 1 2
1 0 16
1 1 14
2 0 12
2 1 17
3 0 33
3 1 19
4 0 10
4 1 34
5 0 12
5 1 2
6 0 32
6 1 4
7 0 17
7 1 5
8 0 2
8 1 1
9 0 21
9 1 3
10 0 38
10 1 4
11 0 9
11 1 23
12 0 18
12 1 21
13 0 6
13 1 16
14 0 0
14 1 28
15 0 7
15 1 34
16 0 11
16 1 9
17 0 15
17 1 8
18 0 8
18 1 3
19 0 32
19 1 5
20 0 12
20 1 26
21 0 33
21 1 29
22 0 20
22 1 11
23 0 13
23 1 20
24 0 0
24 1 28
25 0 31
25 1 28
26 0 11
26 1 25
27 0 28
27 1 26
28 0 36
28 1 19
29 0 19
29 1 39
30 0 15
30 1 35
31 0 35
31 1 1
32 0 31
32 1 37
33 0 31
33 1 15
34 0 35
34 1 6
35 0 19
35 1 6
36 0 7
36 1 30
37 0 33
37 1 20
38 0 14
38 1 28
39 0 26
39 1 21
