Machine471
40 2
0 0 21
0 1 38
1 0 23
1 1 11
2 0 4
2 1 15
3 0 4
3 1 21
4 0 28
4 1 22
5 0 33
5 1 15
6 0 15
6 1 14
7 0 14
7 1 0
8 0 29
8 1 10
9 0 24
9 1 25
10 0 3
10 1 9
11 0 33
11 1 17
12 0 14
12 1 15
13 0 27
13 1 13
14 0 19
14 1 13
15 0 31
15 1 23
16 0 3
16 1 16
17 0 18
17 1 24
18 0 6
18 1 15
19 0 21
19 1 10
20 0 23
20 1 36
21 0 26
21 1 33
22 0 12
22 1 38
23 0 39
23 1 22
24 0 38
24 1 29
25 0 10
25 1 24
26 0 27
26 1 30
27 0 21
27 1 22
28 0 4
28 1 35
29 0 20
29 1 7
30 0 32
30 1 2
31 0 23
31 1 11
32 0 29
32 1 26
33 0 37
33 1 4
34 0 11
34 1 16
35 0 10
35 1 27
36 0 3
36 1 12
37 0 28
37 1 32
38 0 34
38 1 36
39 0 16
39 1 3
