Machine589
40 2
0 0 9
0 1 5
1 0 15
1 1 39
2 0 35
2 1 21
3 0 6
3 1 22
4 0 5
4 1 5
5 0 28
5 1 33
6 0 34
6 1 3
7 0 28
7 1 17
8 0 22
8 1 14
9 0 21
9 1 33
10 0 0
10 1 3
11 0 26
11 1 24
12 0 2
12 1 30
13 0 7
13 1 32
14 0 15
14 1 27
15 0 18
15 1 11
16 0 17
16 1 35
17 0 16
17 1 16
18 0 17
18 1 14
19 0 5
19 1 6
20 0 27
20 1 29
21 0 19
21 1 1
22 0 19
22 1 22
23 0 25
23 1 9
24 0 34
24 1 30
25 0 27
25 1 6
26 0 17
26 1 8
27 0 24
27 1 34
28 0 33
28 1 36
29 0 24
29 1 31
30 0 9
30 1 9
31 0 4
31 1 8
32 0 6
32 1 10
33 0 15
33 1 31
34 0 29
34 1 25
35 0 25
35 1 17
36 0 29
36 1 20
37 0 30
37 1 6
38 0 23
38 1 2
39 0 10
39 1 35
