Machine540
40 2
0 0 27
0 1 37
1 0 22
1 1 11
2 0 9
2 1 23
3 0 17
3 1 21
4 0 9
4 1 16
5 0 4
5 1 28
6 0 11
6 1 0
7 0 38
7 1 4
8 0 20
8 1 3
9 0 16
9 1 23
10 0 24
10 1 35
11 0 31
11 1 38
12 0 22
12 1 19
13 0 3
13 1 33
14 0 2
14 1 15
15 0 28
15 1 20
16 0 12
16 1 24
17 0 9
17 1 34
18 0 29
18 1 7
19 0 39
19 1 0
20 0 30
20 1 1
21 0 25
21 1 13
22 0 11
22 1 37
23 0 3
23 1 28
24 0 26
24 1 16
25 0 18
25 1 31
26 0 7
26 1 6
27 0 33
27 1 0
28 0 18
28 1 26
29 0 13
29 1 6
30 0 15
30 1 19
31 0 26
31 1 14
32 0 34
32 1 29
33 0 1
33 1 2
34 0 2
34 1 15
35 0 25
35 1 34
36 0 8
36 1 27
37 0 32
37 1 13
38 0 32
38 1 26
39 0 21
39 1 11
