Machine447
40 2
0 0 13
0 1 30
1 0 9
1 1 4
2 0 3
2 1 2
3 0 19
3 1 10
4 0 3
4 1 18
5 0 19
5 1 32
6 0 7
6 1 32
7 0 29
7 1 11
8 0 17
8 1 26
9 0 35
9 1 36
10 0 6
10 1 18
11 0 28
11 1 29
12 0 31
12 1 29
13 0 27
13 1 11
14 0 24
14 1 0
15 0 2
15 1 34
16 0 17
16 1 8
17 0 24
17 1 37
18 0 8
18 1 39
19 0 26
19 1 1
20 0 17
20 1 20
21 0 12
21 1 18
22 0 34
22 1 7
23 0 34
23 1 28
24 0 21
24 1 6
25 0 23
25 1 31
26 0 28
26 1 6
27 0 35
27 1 16
28 0 14
28 1 6
29 0 29
29 1 30
30 0 30
30 1 12
31 0 11
31 1 28
32 0 32
32 1 19
33 0 17
33 1 36
34 0 6
34 1 25
35 0 2
35 1 7
36 0 38
36 1 0
37 0 16
37 1 3
38 0 13
38 1 0
39 0 38
39 1 8
