Machine493
40 2
0 0 5
0 1 27
1 0 7
1 1 4
2 0 31
2 1 7
3 0 36
3 1 19
4 0 9
4 1 26
5 0 21
5 1 9
6 0 1
6 1 19
7 0 29
7 1 35
8 0 29
8 1 14
9 0 7
9 1 1
10 0 22
10 1 28
11 0 24
11 1 24
12 0 30
12 1 28
13 0 18
13 1 11
14 0 23
14 1 32
15 0 31
15 1 13
16 0 7
16 1 4
17 0 11
17 1 30
18 0 5
18 1 16
19 0 31
19 1 1
20 0 38
20 1 26
21 0 19
21 1 33
22 0 5
22 1 16
23 0 8
23 1 27
24 0 26
24 1 33
25 0 2
25 1 14
26 0 21
26 1 33
27 0 10
27 1 32
28 0 22
28 1 8
29 0 35
29 1 0
30 0 5
30 1 8
31 0 15
31 1 8
32 0 1
32 1 13
33 0 20
33 1 16
34 0 13
34 1 27
35 0 39
35 1 15
36 0 3
36 1 4
37 0 12
37 1 38
38 0 35
38 1 20
39 0 36
39 1 32
