Machine499
40 2
0 0 39
0 1 21
1 0 8
1 1 1
2 0 29
2 1 3
3 0 6
3 1 29
4 0 3
4 1 15
5 0 18
5 1 16
6 0 33
6 1 32
7 0 5
7 1 38
8 0 15
8 1 14
9 0 21
9 1 10
10 0 5
10 1 15
11 0 2
11 1 24
12 0 39
12 1 16
13 0 31
13 1 19
14 0 26
14 1 35
15 0 15
15 1 1
16 0 13
16 1 39
17 0 10
17 1 11
18 0 6
18 1 2
19 0 36
19 1 16
20 0 5
20 1 29
21 0 21
21 1 24
22 0 20
22 1 10
23 0 15
23 1 9
24 0 4
24 1 12
25 0 1
25 1 32
26 0 39
26 1 26
27 0 27
27 1 33
28 0 24
28 1 32
29 0 16
29 1 19
30 0 0
30 1 23
31 0 30
31 1 32
32 0 18
32 1 21
33 0 16
33 1 1
34 0 31
34 1 39
35 0 27
35 1 30
36 0 37
36 1 17
37 0 14
37 1 18
38 0 10
38 1 13
39 0 14
39 1 37
