Machine440
40 2
0 0 5
0 1 12
1 0 17
1 1 38
2 0 23
2 1 37
3 0 2
3 1 4
4 0 23
4 1 38
5 0 9
5 1 31
6 0 38
6 1 7
7 0 32
7 1 17
8 0 24
8 1 30
9 0 8
9 1 22
10 0 32
10 1 26
11 0 38
11 1 16
12 0 9
12 1 18
13 0 25
13 1 37
14 0 26
14 1 26
15 0 4
15 1 23
16 0 3
16 1 19
17 0 32
17 1 6
18 0 30
18 1 21
19 0 12
19 1 2
20 0 37
20 1 4
21 0 5
21 1 19
22 0 36
22 1 7
23 0 5
23 1 36
24 0 33
24 1 17
25 0 14
25 1 13
26 0 14
26 1 4
27 0 37
27 1 22
28 0 13
28 1 35
29 0 5
29 1 10
30 0 33
30 1 6
31 0 8
31 1 16
32 0 30
32 1 29
33 0 26
33 1 27
34 0 22
34 1 4
35 0 31
35 1 7
36 0 38
36 1 28
37 0 19
37 1 37
38 0 17
38 1 29
39 0 0
39 1 37
