Machine461
40 2
0 0 38
0 1 17
1 0 28
1 1 23
2 0 37
2 1 9
3 0 9
3 1 32
4 0 30
4 1 31
5 0 15
5 1 31
6 0 20
6 1 36
7 0 19
7 1 6
8 0 16
8 1 13
9 0 22
9 1 0
10 0 5
10 1 1
11 0 5
11 1 7
12 0 6
12 1 33
13 0 5
13 1 31
14 0 3
14 1 4
15 0 23
15 1 25
16 0 24
16 1 8
17 0 31
17 1 9
18 0 21
18 1 39
19 0 35
19 1 30
20 0 22
20 1 39
21 0 0
21 1 27
22 0 5
22 1 0
23 0 11
23 1 14
24 0 28
24 1 30
25 0 8
25 1 6
26 0 11
26 1 8
27 0 30
27 1 14
28 0 6
28 1 32
29 0 32
29 1 26
30 0 4
30 1 24
31 0 1
31 1 31
32 0 21
32 1 27
33 0 37
33 1 1
34 0 11
34 1 28
35 0 19
35 1 6
36 0 9
36 1 39
37 0 2
37 1 38
38 0 9
38 1 3
39 0 13
39 1 36
