Machine419
40 2
0 0 24
0 1 34
1 0 32
1 1 15
2 0 3
2 1 20
3 0 9
3 1 25
4 0 3
4 1 20
5 0 34
5 1 34
6 0 31
6 1 6
7 0 8
7 1 34
8 0 20
8 1 24
9 0 12
9 1 19
10 0 26
10 1 30
11 0 17
11 1 4
12 0 13
12 1 15
13 0 26
13 1 30
14 0 26
14 1 13
15 0 30
15 1 38
16 0 7
16 1 9
17 0 15
17 1 13
18 0 28
18 1 21
19 0 18
19 1 35
20 0 32
20 1 38
21 0 39
21 1 2
22 0 18
22 1 28
23 0 5
23 1 8
24 0 12
24 1 31
25 0 26
25 1 16
26 0 26
26 1 4
27 0 20
27 1 6
28 0 36
28 1 2
29 0 18
29 1 28
30 0 0
30 1 9
31 0 10
31 1 13
32 0 3
32 1 11
33 0 21
33 1 5
34 0 5
34 1 37
35 0 13
35 1 27
36 0 36
36 1 18
37 0 8
37 1 9
38 0 7
38 1 11
39 0 34
39 1 22
