Machine496
40 2
0 0 5
0 1 21
1 0 31
1 1 38
2 0 26
2 1 16
3 0 37
3 1 2
4 0 30
4 1 30
5 0 23
5 1 16
6 0 27
6 1 4
7 0 1
7 1 16
8 0 12
8 1 25
9 0 27
9 1 10
10 0 19
10 1 5
11 0 20
11 1 34
12 0 36
12 1 17
13 0 0
13 1 20
14 0 18
14 1 8
15 0 0
15 1 35
16 0 15
16 1 5
17 0 0
17 1 7
18 0 38
18 1 3
19 0 39
19 1 25
20 0 25
20 1 0
21 0 8
21 1 17
22 0 14
22 1 33
23 0 30
23 1 13
24 0 5
24 1 6
25 0 11
25 1 32
26 0 16
26 1 11
27 0 30
27 1 11
28 0 29
28 1 39
29 0 34
29 1 12
30 0 16
30 1 32
31 0 25
31 1 5
32 0 11
32 1 27
33 0 37
33 1 2
34 0 37
34 1 5
35 0 11
35 1 20
36 0 19
36 1 35
37 0 9
37 1 12
38 0 12
38 1 6
39 0 26
39 1 4
