Machine561
40 2
0 0 1
0 1 32
1 0 21
1 1 14
2 0 11
2 1 26
3 0 18
3 1 0
4 0 12
4 1 31
5 0 36
5 1 36
6 0 17
6 1 3
7 0 39
7 1 5
8 0 31
8 1 27
9 0 2
9 1 33
10 0 35
10 1 14
11 0 39
11 1 7
12 0 28
12 1 17
13 0 30
13 1 20
14 0 9
14 1 11
15 0 34
15 1 25
16 0 24
16 1 25
17 0 0
17 1 30
18 0 22
18 1 39
19 0 6
19 1 6
20 0 25
20 1 13
21 0 4
21 1 33
22 0 12
22 1 39
23 0 24
23 1 39
24 0 7
24 1 12
25 0 7
25 1 34
26 0 25
26 1 25
27 0 17
27 1 20
28 0 23
28 1 32
29 0 15
29 1 28
30 0 9
30 1 34
31 0 20
31 1 11
32 0 30
32 1 38
33 0 39
33 1 4
34 0 9
34 1 4
35 0 27
35 1 7
36 0 20
36 1 6
37 0 30
37 1 10
38 0 30
38 1 11
39 0 30
39 1 5
