Machine334
40 2
0 0 6
0 1 25
1 0 16
1 1 27
2 0 6
2 1 3
3 0 25
3 1 35
4 0 26
4 1 33
5 0 26
5 1 21
6 0 17
6 1 22
7 0 6
7 1 26
8 0 3
8 1 0
9 0 2
9 1 31
10 0 14
10 1 0
11 0 19
11 1 9
12 0 10
12 1 21
13 0 9
13 1 27
14 0 15
14 1 5
15 0 33
15 1 17
16 0 16
16 1 4
17 0 18
17 1 29
18 0 34
18 1 15
19 0 33
19 1 31
20 0 36
20 1 30
21 0 0
21 1 1
22 0 34
22 1 13
23 0 4
23 1 20
24 0 30
24 1 24
25 0 19
25 1 28
26 0 9
26 1 13
27 0 8
27 1 25
28 0 27
28 1 4
29 0 15
29 1 1
30 0 24
30 1 35
31 0 14
31 1 3
32 0 0
32 1 5
33 0 9
33 1 32
34 0 26
34 1 14
35 0 8
35 1 34
36 0 17
36 1 24
37 0 5
37 1 18
38 0 12
38 1 35
39 0 29
39 1 22
