Machine337
40 2
0 0 4
0 1 34
1 0 19
1 1 17
2 0 27
2 1 25
3 0 39
3 1 26
4 0 23
4 1 8
5 0 12
5 1 6
6 0 15
6 1 37
7 0 17
7 1 19
8 0 12
8 1 16
9 0 5
9 1 6
10 0 27
10 1 33
11 0 23
11 1 19
12 0 5
12 1 37
13 0 15
13 1 37
14 0 17
14 1 4
15 0 19
15 1 36
16 0 6
16 1 23
17 0 24
17 1 3
18 0 25
18 1 37
19 0 36
19 1 29
20 0 2
20 1 26
21 0 17
21 1 18
22 0 6
22 1 28
23 0 12
23 1 2
24 0 8
24 1 18
25 0 9
25 1 12
26 0 37
26 1 15
27 0 0
27 1 36
28 0 25
28 1 19
29 0 7
29 1 39
30 0 9
30 1 39
31 0 13
31 1 23
32 0 10
32 1 21
33 0 11
33 1 21
34 0 38
34 1 19
35 0 14
35 1 39
36 0 9
36 1 9
37 0 31
37 1 26
38 0 29
38 1 29
39 0 17
39 1 25
