Machine381
40 2
0 0 9
0 1 35
1 0 23
1 1 38
2 0 24
2 1 34
3 0 5
3 1 7
4 0 28
4 1 2
5 0 24
5 1 10
6 0 9
6 1 29
7 0 19
7 1 27
8 0 19
8 1 25
9 0 2
9 1 22
10 0 28
10 1 27
11 0 23
11 1 15
12 0 1
12 1 10
13 0 37
13 1 18
14 0 24
14 1 12
15 0 18
15 1 1
16 0 12
16 1 0
17 0 19
17 1 8
18 0 33
18 1 36
19 0 34
19 1 5
20 0 2
20 1 37
21 0 7
21 1 2
22 0 39
22 1 35
23 0 23
23 1 32
24 0 2
24 1 0
25 0 3
25 1 7
26 0 22
26 1 7
27 0 9
27 1 39
28 0 18
28 1 27
29 0 13
29 1 1
30 0 1
30 1 1
31 0 10
31 1 20
32 0 10
32 1 27
33 0 13
33 1 23
34 0 20
34 1 10
35 0 24
35 1 2
36 0 29
36 1 8
37 0 27
37 1 28
38 0 35
38 1 11
39 0 14
39 1 22
