Machine494
40 2
0 0 13
0 1 29
1 0 14
1 1 16
2 0 33
2 1 27
3 0 31
3 1 8
4 0 29
4 1 4
5 0 24
5 1 39
6 0 1
6 1 11
7 0 35
7 1 33
8 0 2
8 1 15
9 0 20
9 1 39
10 0 18
10 1 37
11 0 26
11 1 25
12 0 0
12 1 26
13 0 32
13 1 4
14 0 24
14 1 1
15 0 27
15 1 32
16 0 8
16 1 5
17 0 21
17 1 24
18 0 33
18 1 0
19 0 7
19 1 29
20 0 17
20 1 4
21 0 28
21 1 38
22 0 24
22 1 15
23 0 19
23 1 2
24 0 0
24 1 20
25 0 32
25 1 12
26 0 31
26 1 14
27 0 17
27 1 22
28 0 15
28 1 3
29 0 11
29 1 39
30 0 16
30 1 2
31 0 8
31 1 26
32 0 11
32 1 8
33 0 38
33 1 15
34 0 4
34 1 13
35 0 35
35 1 35
36 0 29
36 1 20
37 0 34
37 1 13
38 0 17
38 1 31
39 0 19
39 1 6
