Machine405
40 2
0 0 10
0 1 26
1 0 0
1 1 5
2 0 14
2 1 10
3 0 36
3 1 24
4 0 31
4 1 1
5 0 29
5 1 8
6 0 26
6 1 21
7 0 10
7 1 2
8 0 23
8 1 14
9 0 6
9 1 12
10 0 8
10 1 10
11 0 30
11 1 5
12 0 6
12 1 39
13 0 4
13 1 2
14 0 38
14 1 1
15 0 19
15 1 22
16 0 20
16 1 25
17 0 13
17 1 16
18 0 5
18 1 8
19 0 25
19 1 37
20 0 31
20 1 11
21 0 33
21 1 3
22 0 18
22 1 18
23 0 10
23 1 28
24 0 4
24 1 17
25 0 12
25 1 34
26 0 30
26 1 8
27 0 19
27 1 25
28 0 27
28 1 38
29 0 3
29 1 35
30 0 23
30 1 28
31 0 13
31 1 31
32 0 12
32 1 17
33 0 38
33 1 38
34 0 35
34 1 19
35 0 1
35 1 13
36 0 24
36 1 25
37 0 15
37 1 1
38 0 13
38 1 32
39 0 19
39 1 31
