Machine415
40 2
0 0 23
0 1 37
1 0 37
1 1 25
2 0 28
2 1 37
3 0 38
3 1 11
4 0 38
4 1 11
5 0 24
5 1 28
6 0 16
6 1 7
7 0 11
7 1 11
8 0 14
8 1 6
9 0 35
9 1 18
10 0 18
10 1 28
11 0 33
11 1 24
12 0 17
12 1 31
13 0 15
13 1 2
14 0 8
14 1 11
15 0 11
15 1 31
16 0 2
16 1 35
17 0 34
17 1 32
18 0 33
18 1 27
19 0 7
19 1 17
20 0 37
20 1 7
21 0 28
21 1 37
22 0 39
22 1 37
23 0 12
23 1 35
24 0 8
24 1 34
25 0 4
25 1 29
26 0 29
26 1 31
27 0 21
27 1 30
28 0 21
28 1 15
29 0 25
29 1 37
30 0 3
30 1 16
31 0 7
31 1 17
32 0 32
32 1 3
33 0 20
33 1 10
34 0 38
34 1 16
35 0 30
35 1 32
36 0 15
36 1 13
37 0 35
37 1 3
38 0 3
38 1 30
39 0 39
39 1 39
