Machine413
40 2
0 0 20
0 1 9
1 0 16
1 1 14
2 0 29
2 1 23
3 0 38
3 1 33
4 0 37
4 1 8
5 0 10
5 1 15
6 0 8
6 1 31
7 0 21
7 1 33
8 0 22
8 1 11
9 0 25
9 1 1
10 0 13
10 1 21
11 0 29
11 1 15
12 0 25
12 1 8
13 0 28
13 1 0
14 0 29
14 1 8
15 0 22
15 1 22
16 0 18
16 1 31
17 0 34
17 1 2
18 0 1
18 1 6
19 0 0
19 1 36
20 0 17
20 1 10
21 0 18
21 1 38
22 0 15
22 1 15
23 0 6
23 1 37
24 0 29
24 1 5
25 0 28
25 1 10
26 0 39
26 1 39
27 0 38
27 1 31
28 0 12
28 1 12
29 0 12
29 1 1
30 0 15
30 1 6
31 0 27
31 1 21
32 0 9
32 1 34
33 0 25
33 1 19
34 0 14
34 1 10
35 0 4
35 1 23
36 0 27
36 1 1
37 0 10
37 1 36
38 0 31
38 1 8
39 0 8
39 1 4
